Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Development Of An Algorithm For Strength Training With Use Haptic Feedback And Artificial Intelligence (AI) Based Enhancement,E. A. Villegas-Jiménez; A. H. Bello-Guerrero; M. D. Padilla-Torres; L. N. Villagómez-Venegas; C. S. Chávez-Ramírez,"Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México; Facultad de Estudios Superiores ""Aragón"", Universidad Nacional Autónoma de México, Estado de México, México","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)",9 Apr 2026,2025,,,1,6,"The increasing popularity of the use of AI in everyday life has enabled the development of virtual systems for human assistance. This research proposes an implemented linear regression model with a vector of random weights, using a mean square error (MSE), based cost function and regularisation and corresponding Python code that integrates AI-based haptic feedback through vibration, specifically designed to optimise weight training.The results of the simulation model analysis show how key biomechanical parameters are identified and used to improve a person's posture by adjusting technique through real-time vibrational stimuli. The development of the system involves physical benefits such as injury prevention, continuous biomechanical monitoring, adaptive programme structuring and haptic vibration feedback for immediate movement correction. Popular and accurate tools for building linguistic models are mentioned, such as machine learning, computer vision and neural networks. Technological tools such as machine learning, computer vision and neural networks, applied to process biomechanical data and trigger personalised vibrational responses, are highlighted.",,979-8-3315-3559-9,10.1109/ICECET63943.2025.11472504,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11472504,AI;virtual coach;strength training;biomechanics;haptic feedback;python,Feedback;Circuits;Oscillators;Rectifiers;Internet of Things;Internet;Communication systems;Protocols;Telecommunication computing;Computer networks,,,,27,IEEE,9 Apr 2026,3-6 July 2025,3-6 July 2025,IEEE,IEEE Conferences
Pseudo-Temporal Modeling with 2D CNNs for Framewise Surgical Gesture Segmentation in Robot-Assisted Surgery,D. Haro-Mendoza; G. A. Castro Vazquez; A. Leonardo Campos Carreras; A. J. Diaz Urias; V. J. Gonzalez-Villela; M. Cedillo-Hernandez; R. E. Arevalo-Ancona,"Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Biomedical Systems Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; Dept. of Mechatronics Engineering, Faculty of Engineering, Universidad Nacional Autónoma de México, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico; SEPI ESIME Culhuacán, Instituto Politécnico Nacional, Mexico City, Mexico","2025 6th International Conference on Communications, Information, Electronic and Energy Systems (CIEES)",25 Dec 2025,2025,,,1,5,"Surgical procedures can be decomposed into elementary units (tasks, surgemes, and dexemes) that represent the building blocks of surgical performance. Segmenting gestures at this level is crucial for objective skill assessment and for understanding how simple movements are concatenated to form complete procedures, ultimately supporting the development of training and evaluation systems. In this work, we present a pseudo-temporal modeling approach for surgical gesture segmentation using a 2D ResNet-50 convolutional network trained exclusively on RGB frames. During training, each video was divided into eight equal segments, which were used to feed the network and generate gesture-level probabilities. To optimize learning, an adaptive Exponential Moving Average (EMA) mechanism was applied to stabilize weight updates and reinforce poorly performing gesture classes. At inference, complete surgical videos were processed with an overlapping sliding window of eight frames, where each frame could be evaluated multiple times in different contexts. Frame-level probabilities were averaged across overlapping windows and refined through a temporal mode filter, producing stable and coherent gesture sequences. The method was validated on the JIGSAWS dataset, which includes the Suturing, Knot Tying, and Needle Passing tasks. Results showed reliable recognition across all procedures: Suturing achieved 82.26%, Knot Tying 91.97%, and Needle Passing 79.35%. Training required approximately one hour, and inference on a complete video of 2950 frames was performed in about 45 seconds, also generating a labeled output video. By relying solely on 2D convolutions and RGB input, the approach achieves accurate and efficient segmentation with low computational cost, making it suitable for surgical training environments with limited resources and applicable in near real-time scenarios.",,979-8-3315-0119-8,10.1109/CIEES66347.2025.11300252,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11300252,surgical gesture segmentation;pseudo-temporal modeling;2d convolutional neural networks;resnet 50;exponential moving average,Training;Adaptation models;Accuracy;Computational modeling;Surgery;Needles;Real-time systems;Windows;Convolutional neural networks;Videos,,,,13,IEEE,25 Dec 2025,26-28 Nov. 2025,26-28 Nov. 2025,IEEE,IEEE Conferences
"Deep Learning Approach for Aortic Valve Localization, Detection and Segmentation in Computed Tomography Volumes",R. O. Azuara-Domínguez; J. Olveres; B. Escalante-Ramírez; E. Vallejo,"Posgrado de Ingeniería Eléctrica, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico; Centro Médico ABC, Mexico city, Mexico",2025 IEEE 38th International Symposium on Computer-Based Medical Systems (CBMS),4 Jul 2025,2025,,,1,4,"Standard view cardiac computed tomography (CT) images are of great importance in clinical practice due to the valuable diagnostic information they provide. However, navigating these (3D) medical images to identify such a view can represent a time-consuming process, subject to inter-operator variability. This study presents an approach using a Multiscale Vision Transformer (MViT) to infer the rotation parameters required to obtain standard views and subsequently focus on extracting the left ventricular outflow tract (LVOT) view. Once this view is obtained, the aortic valve is detected and segmented using well-known convolutional neural networks (CNNs), specifically ResNet18 for detection and U-Net for segmentation. The methodology used for its training is detailed, along with the metrics employed to evaluate their performance. Finally, the results obtained for each stage are presented. This approach provides a clear understanding of the performance of each model, from rotation parameter prediction to aortic valve detection and segmentation.",2372-9198,979-8-3315-2610-8,10.1109/CBMS65348.2025.00063,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058708,3D volume Cardiac CT;Deep Learning;Regression;Segmentation;Rotation matrix;Attention,Deep learning;Image segmentation;Three-dimensional displays;Computed tomography;Computational modeling;Pipelines;Predictive models;Valves;Data models;Standards,,,,12,IEEE,4 Jul 2025,18-20 June 2025,18-20 June 2025,IEEE,IEEE Conferences
A Reasoning System for Graded Modal Logic,R. López-Villafán; E. Bárcenas,"IIMAS: Posgrado en Ciencia e lngeniería de la Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico; Facultad de Ingenería: Dpto. de Computación, Universidad Nacional Autónoma de México, Mexico City, Mexico",2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT),18 Dec 2024,2024,,,228,236,"In this paper, we propose a deduction system for the modal logic $\mathbf{K}$ with graded modalities, which is obtained by adding numerical constraints to the modal operators. Graded modalities can be seen as a generalization of traditional modal operators since they include numerical bounds in the modalities, thus enabling the formal treatment of more detailed expressions, such as “there are at least $n+1$ individuals satisfying a certain property”, where $n$ is a natural number. This kind of properties commonly arise in contexts such as concurrent systems: “if at least 3 processors are free, then proceed to compute the next task”, or epistemic logic:”if more than 2 people know $P$, then $P$ is known”. The system is based on the notion of tree-hypersequents. We show the system is correct, i.e. sound and complete.",,979-8-3315-3211-6,10.1109/CONISOFT63288.2024.00037,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795561,graded modalities;proof theory;hypersequents;automated reasoning,Technological innovation;Interpolation;Program processors;Computational modeling;Syntactics;Cognition;Numerical models;Logic;Iterative methods;Formal verification,,,,21,IEEE,18 Dec 2024,28 Oct.-1 Nov. 2024,28 Oct.-1 Nov. 2024,IEEE,IEEE Conferences
Large-Scale Validation and Analysis of the Rejection Capacity in Entropic Associative Memory,Á. F. Bórquez; R. Morales; L. A. Pineda,"Universidad de Sonora, Guadalajara, Jalisco, México; Universidad de Guadalajara, Guadalajara, Jalisco, México; Universidad Nacional Autónoma de México, Guadalajara, Jalisco, México",2025 Mexican International Conference on Computer Science (ENC),2 Jan 2026,2025,,,1,5,"The Entropic Associative Memory (EAM) is a cognitively inspired computational model that combines probabilistic recognition with an efficient pattern storage and retrieval architecture. Previous evaluations, limited to small domains of about ten classes and a few thousand instances per class, showed promising results in classification and reconstruction. This work extends those studies in two ways. First, we assess scalability using Googles Quick, Draw! dataset, which includes over 300 classes and 100,000 instances per class. Second, we test EAMs rejection capability by storing only half of the classes and evaluating performance on the full dataset. Results confirm EAMs adaptability to large-scale scenarios and its effective rejection of novel stimuli, underscoring its potential as a robust and explainable AI model.",2332-5712,979-8-3315-9026-0,10.1109/ENC68268.2025.11311908,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11311908,Entropic Associative Memory;Quick Draw;scalability;open-set recognition;rejection,Computer science;Associative memory;Explainable AI;Scalability;Computational modeling;Deep architecture;Computer architecture;Probabilistic logic;Pattern recognition;Context modeling,,,,9,IEEE,2 Jan 2026,10-14 Nov. 2025,10-14 Nov. 2025,IEEE,IEEE Conferences
A Framework for Dynamic User Modeling Integrating Data Stream Mining and Process Mining in Educational Contexts,M. Yesenia Zavaleta-Sanchez; E. Benitez-Guerrero; G. Gilberto Molero-Castillo; C. Mezura-Godoy; L. Gerardo Montane-Jimenez,"Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Departamento de Computación, Facultad de Ingeniería, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico; Facultad de Estadística e Informática, Universidad Veracruzana (UV), Xalapa, Heroica Veracruz, Mexico",IEEE Access,26 Sep 2025,2025,13,,166078,166103,"A user model (UM) is a representation of the characteristics, behaviors, and preferences of a user that a computer system utilizes to provide the user with personalized experiences. In educational settings, for instance, a system can use information about the Learning Styles (LSs) of a student to provide them with adequate study materials. Furthermore, with the growing use of Learning Management System (LMS) platforms, such as Moodle, continuous streams of user data highlight the need to compute student models dynamically to support adaptive decision-making in teaching and learning. This paper introduces a framework for Dynamic User Modeling (DUMING) to create evolving Dynamic User Models (DUMs) that capture and adapt to changes in student LSs over time, based on event log streams from an LMS. This framework leverages the Felder and Silverman Learning Styles Model (FSLSM) and integrates Data Stream Mining (DSM) and Process Mining (PM) techniques across three layers: collection, preprocessing, and mining. Collected event streams are processed within landmark windows and classified into High-Level Events (HLEs) based on LMS functionality. The STREAMKMeans algorithm clusters events, and the PM phase uses Alpha Miner (AM), Heuristic Miner (HM), and Inductive Miner (IM) algorithms to identify learning paths represented as Petri Nets (PNs), with IM showing the highest values in the quality metrics used. Implemented and evaluated in a course using Moodle at the Universidad Veracruzana in Mexico, the framework employs IF-THEN rules to relate HLE proportions to FSLSM-based LSs, visualizing changes through radar charts. The results demonstrate the effectiveness of the framework in generating adaptive DUMs, providing insights that enhance over time educational support and enable timely interventions.",2169-3536,,10.1109/ACCESS.2025.3611957,"National Council of Humanities, Sciences, and Technologies (CONAHCYT, Mexico)(grant numbers:743385); CONAHCYT, in the Scope of the Project “Infraestructura para Agilizar el Desarrollo de Sistemas Centrados en el Usuario” (Cátedras)(grant numbers:3053); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11173584,Clustering data stream mining;dynamic user modeling;educational data mining;learning styles;process mining,Adaptation models;Data models;Computational modeling;Context modeling;Time division multiplexing;Heuristic algorithms;Visualization;Process mining;Sensors;Clustering algorithms,,1,,61,CCBY,19 Sep 2025,2025,,IEEE,IEEE Journals
Detection of DoS and DDoS Attacks Using LSTM in Computer Networks: A Systematic Literature Review,A. E. Godínez; J. L. Garza Rivera; D. T. Varela,"CDMX, Universidad Da Vinci, México; CDMX, Universidad Da Vinci, México; Facultad de Estudios Superiores Cuautitlán, Universidad Nacional Autónoma de México, Cuautitlan Izcalli, México",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),22 Jan 2026,2025,,,94,102,"Artificial Intelligence (AI), with machine learning (ML) models and deep learning (DL) neural networks, represents a possibility for detecting DoS/DDoS attacks more effectively. The LSTM (Long Short-Term Memory) model is one of the options for detecting these increasingly varied and sophisticated attacks. The objective of this research was to evaluate the application of the LSTM model in the detection of DoS and DDoS cyber attacks on communications networks. This research was designed as a Systematic Literature Review to obtain the most recent studies on the subject. As a result, 86 initial studies were obtained from the databases. Once the entire procedure, including the quality assessment of the studies, was completed, 15 final primary studies were selected. With these primary studies, it was possible to answer all the questions in the review. It should be noted that modern SDN (Software Defined Network) networks, Cloud Computing networks, and classic networks are threatened by this type of attack. The LSTM models applied in the detection of DoS/DDoS attacks can be hybrid or combined. The most commonly used evaluation metrics are Accuracy, Recall, Precision, and F1-Score, and the most frequently found public datasets include NSL-KDD, CICDoS2019, and CICIDS2017. A wide variety of LSTM-based models and approaches that can be used to experiment and compare their performance in terms of communications network security.",,979-8-3315-8719-2,10.1109/SAIBOT67519.2025.00021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344499,Long short term memory;Systematic literature review;Machine learning;Denial-of-service attack;Network security,Measurement;Computational modeling;Denial-of-service attack;NSL-KDD;Market research;Communication networks;Software defined networking;Long short term memory;Cyberattack;Systematic literature review,,,,21,IEEE,22 Jan 2026,28-31 Oct. 2025,28-31 Oct. 2025,IEEE,IEEE Conferences
A Parallel Steganography Algorithm Using a New Secret Key Generation,A. I. H. Al-Jarah; J. L. O. Arjona,"Postgraduate in Science and Computing Engineering, National Autonomous University of Mexico, Mexico City, Mexico; Mathematics department, Science faculty National Autonomous University of Mexico, Mexico City, Mexico","2024 IEEE 15th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)",20 Nov 2024,2024,,,356,365,"Computation has mostly used parallelism for high-performance computation, and multicore processors have gained popularity because they offer better processing time. However, one of the most challenging tasks to achieve is securely exchange confidential data over the network between sender and receiver. The research work in this paper explains how secret key steganography, combined with parallel processing, is utilized to conceal secret data within an image. The proposed algorithm describes and focuses on the generation method of a secret key while merging it with the Least Significant Bit (LSB) algorithm to achieve robustness, as well as parallel computing to improve the processing time in both the encoding/decoding phases. The proposed algorithm adds another layer of security by adding a robustness parameter (secret key), convenient for keeping secret, confidential, and crucial data. Parallel processing, combined with the new method to formulate the secret key is the novelty and strongest attribute of the proposed algorithm. When parallel computing is applied, the process speeds up compared with the same algorithm in the sequential version. The results are compared with the LSB algorithm in terms of the peak signal to noise ratio (PSNR) and mean square error (MSE) values, aspiring to present that the proposed algorithm adds robustness without affecting image imperceptibility.",,979-8-3315-4090-6,10.1109/UEMCON62879.2024.10754748,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10754748,Hiding data;Image steganography;Processing time improvement;Parallel steganography;Secret key steganography;Steganography,Steganography;Visualization;PSNR;Program processors;Multicore processing;Receivers;Parallel processing;Mobile communication;Robustness;Security,,,,18,IEEE,20 Nov 2024,17-19 Oct. 2024,17-19 Oct. 2024,IEEE,IEEE Conferences
Optimization of Deep Learning Architectures for Accurate Prediction of Protein-Ligand Binding in Drug Discovery,J. M. Hernández Duarte; A. Y. Alarcón López; E. R. Ángeles Anguiano,"Universidad Da Vinci, Ciudad de México, Mexico; Departamento de Ciencias Quimicas, FES Cuautitlán - UNAM, Cuautitlán Izcalli, Mexico; Departamento de Ciencias Quimicas, FES Cuautitlán - UNAM, Cuautitlán Izcalli, Mexico",2025 IEEE Latin American School on Computational Intelligence and Robotics (SAIBOT),22 Jan 2026,2025,,,131,135,"Drug discovery is an intricate and costly process, in which the accurate prediction of protein-ligand binding affinity (BAP) represents a critical step. This systematic review article addresses the state of the art in this field, focusing on the evolution and optimization of deep learning (DL) architectures that have emerged as a robust alternative to traditional computational and experimental methods. A taxonomy is proposed that classifies DL models based on their data representation: structure-based models (such as convolutional and graph neural networks), sequence-based models, and hybrid and multimodal approaches. Comparative analysis highlights the superiority of architectures that integrate multimodal information and employ attention mechanisms, demonstrating improved predictive accuracy and generalization capabilities. Nonetheless, there are still issues, such as the limited interpretability of the model or the bias and scarcity of training data. Finally, future research directions emphasize the revolutionary potential of quantum computing, which promises to overcome computational and data limitations, and generative artificial intelligence, which enables de novo molecular design. This work directs the scientific community to the most promising research areas by offering a conceptual framework for comprehending the state of DL-driven BAP today.",,979-8-3315-8719-2,10.1109/SAIBOT67519.2025.00025,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11344140,Drug discovery;Computational chemistry;Deep learning;Attention mechanisms;Quantum computing,Proteins;Deep learning;Quantum computing;Accuracy;Computational modeling;Taxonomy;Computer architecture;Data models;Drug discovery;Optimization,,,,21,IEEE,22 Jan 2026,28-31 Oct. 2025,28-31 Oct. 2025,IEEE,IEEE Conferences
Data-Driven Power System Linear Model Identification via Quadrature-Based Balanced Truncation,M. R. Arrieta Paternina; J. A. Moreno Corbea; J. M. Ramirez-Arredondo; J. H. Chow; A. Zamora-Mendez,"Universidad Nacional Autonoma de Mexico (UNAM), MX; Universidad Nacional Autonoma de Mexico (UNAM), MX; Centro de Investigacion y de Estudios Avanzados del IPN, Unidad Guadalajara, MX; Rensselaer Polytechnic Institute, US; Universidad Michoacana San Nicolas de Hidalgo, MX",IEEE Latin America Transactions,7 Aug 2025,2025,23,9,787,798,"This paper introduces the novel formulation of the quadrature-based balanced truncation (QBBT) method to precisely identify large-scale power system linear models. The QBBT interpolates a directional frequency dataset that is extracted from a dynamic system, following a quadrature rule to be applied from weighted data to derive a linear system model based on approximations of Gramians, and providing an alternative approach to the classic balanced truncation (BT) formulation that makes use of the system model. In this investigation, an accurate theoretical framework is presented to achieve the application of QBBT considering power systems as black-box models. The Boyd/Clenshaw-Curtis (BCC) quadrature rule is implemented by using different adjustments to accurately identify linear models of different order. The attained results and their validation with analytical power system models confirm the method's potential to retail oscillatory dynamics. The QBBT's effectiveness is compared with the Loewner-based frequency interpolation (LBFI) approach and the BT method on the Klein-Rogers-Kundur (KRK) benchmark power system and the equivalent of the New England transmission system - New York power system (NETS-NYPS), achieving a small absolute error in the magnitude of the frequency response of the models of the order of 1x10-3 dB in comparison with other state-of-the-art methods.",1548-0992,,10.1109/TLA.2025.11119494,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11119494,balanced truncation;quadrature rules;system identification;directional frequency data-set;power system linear model,Power system dynamics;Numerical models;Accuracy;Power system stability;Modeling;Mathematical models;Data models;Analytical models;Interpolation;System identification,,3,,,IEEE,7 Aug 2025,Sept. 2025,,IEEE,IEEE Journals
