indice,Titulo,Año,Autor_norm,Afiliacion1,Afiliacion2,ISBN,ISSN,Doi,URL,Area,Subarea,Keywords,Abstract
1,An efficient algorithm for identifying rainbow ortho-convex 4-sets in k-colored point sets,2025,"Flores-Peñaloza, David; Lopez, Mario A.; Marín, Nestaly; Orden, David","David Flores-Peñaloza: Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, Mexico | Mario A. Lopez: Department of Computer Science, University of Denver, United States of America | Nestaly Marín: Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, Mexico | David Orden: Departamento de Física y Matemáticas, Universidad de Alcalá, Spain",,N/D,0020-0190,10.1016/j.ipl.2024.106551,https://doi.org/10.1016/j.ipl.2024.106551,CC,,Orthogonal convexity; Colored point sets; Separability; Algebraic computation tree model,"Let P be a k-colored set of n points in the plane, 4 <= k <= n. We study the problem of deciding if P contains a subset of four points of different colors such that its Rectilinear Convex Hull has positive area. We show this problem to be equivalent to deciding if there exists a point c in the plane such that each of the open quadrants defined by c contains a point of P, each of them having a different color. We provide an O(n log n)-time algorithm for this problem, where the hidden constant does not depend on k; then, we prove that this problem has time complexity Omega(n log n) in the algebraic computation tree model. No general position assumptions for P are required."
2,A novel method for ECG signal morphology analysis using tortuosity estimation,2024,"Pacheco González, Luis Eduardo; Torres Guzmán, Didier; Barbará-Morales, Eduardo","Luis Eduardo Pacheco González: Universidad Nacional Autónoma de México, Ciudad Universitaria, Coyoacán, 04510 Ciudad de México, Mexico | Didier Torres Guzmán: Universidad Nacional Autónoma de México, Ciudad Universitaria, Coyoacán, 04510 Ciudad de México, Mexico | Eduardo Barbará-Morales: Universidad Anáhuac Mayab, Km 15.5, Carretera Mérida-Progreso, 97302 Mérida, Yucatán, Mexico; Universidad Politécnica de Yucatán, Tablaje Catastral 7193, Carretera Mérida-Tetiz Km.4.5, 97357 Yucatán, Mexico",,N/D,1746-8094,10.1016/j.bspc.2024.106772,https://doi.org/10.1016/j.bspc.2024.106772,CC,,Electrocardiogram; Morphology analysis; Tortuosity; Slope chain code,"Objective: The present work aims to evaluate an electrocardiogram (ECG) signal with a new algorithm based on the tortuosity of the signal, which seeks a better performance in differentiating pathologies without losing signal information due to abnormalities. Methods: The digitized ECG signal is studied as a set of segments that make up the complete signal. For each segment, the associated slope is calculated and, using the chain code, the change in the slope between contiguous segments is obtained to conform the tortuosity of the signal. This procedure was used for 12-lead ECG signals for 14 subjects from the arrhythmia group and 14 subjects from the control group, resulting in 168 signals analyzed per study group. Results: The tortuosity results between both study groups were compared using the statistical t-test, showing a significant difference (p < 0.05) in 9 of 12 leads of the ECG signal. This was compared with the RR-interval values, in which no significant difference was found in any lead between the study groups, indicating better discrimination performance with the proposed algorithm. Conclusions: The proposed method can differentiate for most of the ECG leads between pathological and healthy signals. Significance: This method was compared to the widely used method RR-interval estimation and outperformed it by obtaining statistical differences in 9 more leads between the study groups."
3,CUDA code to generate computational models and predict mechanical properties for metallic surface nanocoatings,2024,"Bedolla-Hernández, M.; Sánchez-Ruiz, F.J.; Rosano-Ortega, G.; Bedolla-Hernández, J.; Schabes-Retchkiman, P.S.; Vega-Lebrún, C.A.; Vargas-Viveros, E.","M. Bedolla-Hernández: Tecnológico Nacional de México/I. T. Apizaco, Apizaco, Tlaxcala, México | F.J. Sánchez-Ruiz: Universidad Popular Autónoma del Estado de Puebla (UPAEP), Puebla, México | G. Rosano-Ortega: Universidad Popular Autónoma del Estado de Puebla (UPAEP), Puebla, México | J. Bedolla-Hernández: Tecnológico Nacional de México/I. T. Apizaco, Apizaco, Tlaxcala, México | P.S. Schabes-Retchkiman: Instituto de Física, Universidad Nacional Autónoma de México (UNAM), CDMX, México | C.A. Vega-Lebrún: Universidad Popular Autónoma del Estado de Puebla (UPAEP), Puebla, México | E. Vargas-Viveros: Universidad Autónoma de Baja California, Facultad de Diseño y Arquitectura, Ensenada, BC, México",,N/D,2665-9638,10.1016/j.simpa.2024.100645,https://doi.org/10.1016/j.simpa.2024.100645,CC,,CUDA programming; Metallic surface nanocoating; FEM simulation; Predictive models; Mechanical surface properties,"The article presents an open-access code, written in CUDA and C++ programming language, applicable for generating computational models of nanostructured surface coatings deposited by electrodeposition. The code uses the Schrödinger equation, energy potentials, and electrochemistry as a theoretical basis to determine the deposition and electrodeposition energies, allowing the prediction of the formation and growth of these coatings. Likewise, the parameter variation enabled within the code provides for determining the main electrodeposition parameters (voltage, current, concentration, and residence time) for experimental depositions. The code can be easily implemented for any metallic coating-substrate arrangement where the filler material is nanomaterials."
4,Maya-Tupi graphs: a generalization of split graphs,2025,"Araújo, Júlio; Hernández-Cruz, César; Linhares Sales, Claudia","Júlio Araújo: Departamento de Matemática, Universidade Federal do Ceará, Fortaleza, Brazil | César Hernández-Cruz: Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, México | Claudia Linhares Sales: Departamento de Computação, Universidade Federal do Ceará, Fortaleza, Brazil",,N/D,1877-0509,10.1016/j.procs.2025.10.336,https://doi.org/10.1016/j.procs.2025.10.336,CC,,Split graph; Maya-Tupi graph; Forbidden induced subgraph characterization; Certifying algorithm,"We define the family of Maya-Tupi graphs as those graphs that admit a partition (A, B) of their vertex sets such that A induces a complete multipartite graph where each part has size at most two, and B induces a graph where every connected component is K1 or K2. The family of Maya-Tupi graphs is self complementary, generalizes split graphs, falls into the sparse-dense partitioning schema and is characterized by finitely many forbidden induced subgraphs. Unfortunately, our computational experiments show that the number of minimal forbidden induced subgraphs to characterize Maya-Tupi graphs is greater than 2000. In this work, we study Maya-Tupi graphs when restricted to some well-known graph classes. We find characterizations in terms of minimal forbidden induced subgraphs for disconnected graphs, trees and cographs; our results imply linear time certifying recognition algorithms for Maya-Tupi graphs within these classes. We also show that Maya-Tupi graphs can be recognized in O(n^3)-time in C4-free graphs and in graphs with bounded neighborhood diversity."
5,Neuroevolution-based multiobjective algorithm for feature selection and binary classification of DNA microarrays,2025,"García-Núñez, Daniel; Rodríguez-Vázquez, Katya; Hernández, Carlos; Galván, Edgar","Daniel García-Núñez: Naturally Inspired Computation Research Group, Department of Computer Science, Hamilton Institute, National University of Ireland Maynooth, Maynooth, W23 F2H6, Kildare Co., Ireland | Katya Rodríguez-Vázquez: Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, 04510, Ciudad de México, Mexico | Carlos Hernández: Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, 04510, Ciudad de México, Mexico | Edgar Galván: Naturally Inspired Computation Research Group, Department of Computer Science, Hamilton Institute, National University of Ireland Maynooth, Maynooth, W23 F2H6, Kildare Co., Ireland",,N/D,1568-4946,10.1016/j.asoc.2025.113520,https://doi.org/10.1016/j.asoc.2025.113520,CC,,Neuroevolution; Multiobjective optimisation; Feature selection; DNA microarray,"The genomes of organisms have been sequenced for many years, leading to the discovery of thousands of genes. DNA microarrays are widely used tools for simultaneously analysing numerous genes, commonly employed in detecting and identifying various diseases, including cancer. However, microarray datasets have non-relevant and redundant information, hindering their analysis. This problem is further exacerbated considering the datasets’ high dimensionality and imbalanced classes. Consequently, standard practice involves incorporating a feature selection process to identify the most relevant genes and their associations with diseases. Various methods have been employed to address this task. However, none have taken a more holistic approach that effectively handles feature selection, automatically identifies the optimal classifier configuration, and manages potential conflicting objectives simultaneously. In response, this study introduces the S-metric selection - multiobjective neuroevolution of augmenting topologies (SMS-MONEAT) algorithm, which combines the multiobjective optimisation framework from S-metric selection - evolutionary multiobjective algorithm (SMS-EMOA) and the evolutionary operators from the neuroevolution algorithm N3O, a variation from NEAT. SMS-MONEAT algorithm was designed to perform both feature selection and optimise the configuration of artificial neural networks for classification tasks. SMS-MONEAT was evaluated against classic and state-of-the-art methods for feature selection and microarray classification. The experiments were conducted on 20 highly challenging cancer-type datasets primarily sourced from the Curated Microarray Database, and the results were investigated for statistical significance. The findings suggest that SMS-MONEAT either outperforms or achieves competitive results in terms of classification compared to the mentioned methods, while at the same time, it selects a smaller subset of features."
6,Partitioning P5-free graphs into an independent set and a complete multipartite graph,2025,"Benítez-Bobadilla, Germán; Contreras-Mendoza, F. Esteban; García-Altamirano, Juan Carlos; Hernández-Cruz, César; Montellano-Ballesteros, Juan José","Germán Benítez-Bobadilla: Facultad de Ciencias, Universidad Nacional Autónoma de México | F. Esteban Contreras-Mendoza: Instituto de Matemáticas, Universidad Nacional Autónoma de México | Juan Carlos García-Altamirano: Universidad Autónoma Metropolitana Cuajimalpa | César Hernández-Cruz: Facultad de Ciencias, Universidad Nacional Autónoma de México | Juan José Montellano-Ballesteros: Instituto de Matemáticas, Universidad Nacional Autónoma de México",,N/D,1877-0509,10.1016/j.procs.2025.10.340,https://doi.org/10.1016/j.procs.2025.10.340,CC,,3-coloring; P5-free graph; Vertex partition; Forbidden induced subgraph characterization; Polar graph; Hereditary classes; Matrix partition; Certifying recognition algorithms,"An M9-partition of a graph is a partition of its vertex set into an independent set and a set inducing a complete bipartite graph, i.e. an M9-partition is a 3-coloring (I, J, K) with the additional restriction that each vertex in part J is adjacent to all vertices in part K. A counipolar partition of a graph is a partition of its vertex set into an independent set and a set inducing a complete multipartite graph. In this work, we present partial results on the structure of the families of P5-free graphs admitting either a counipolar or an M9-partition. Specifically, we focus on forbidden induced subgraph characterizations and recognition algorithms for these graph classes."
7,FEM for 1D-problems involving the logarithmic Laplacian: Error estimates and numerical implementation,2025,"Hernández-Santamaría, Víctor; Jarohs, Sven; Saldaña, Alberto; Sinsch, Leonard","Víctor Hernández-Santamaría: Instituto de Matemáticas, Universidad Nacional Autónoma de México, Circuito Exterior, Ciudad Universitaria, 04510 Coyoacán, Ciudad de México, Mexico | Sven Jarohs: Institut für Mathematik, Goethe-Universität Frankfurt, Robert-Mayer-Str. 10, D-60629 Frankfurt am Main, Germany | Alberto Saldaña: Instituto de Matemáticas, Universidad Nacional Autónoma de México, Circuito Exterior, Ciudad Universitaria, 04510 Coyoacán, Ciudad de México, Mexico | Leonard Sinsch: Institut für Mathematik, Goethe-Universität Frankfurt, Robert-Mayer-Str. 10, D-60629 Frankfurt am Main, Germany",,N/D,0898-1221,10.1016/j.camwa.2025.05.013,https://doi.org/10.1016/j.camwa.2025.05.013,CC,,Finite elements; Zero-order kernel; Quasi-interpolation; Weighted logarithmic norms,"We present the numerical analysis of a finite element method (FEM) for one-dimensional Dirichlet problems involving the logarithmic Laplacian (the pseudo-differential operator that appears as a first-order expansion of the fractional Laplacian as the exponent s → 0+). Our analysis exhibits new phenomena in this setting; in particular, using recently obtained regularity results, we prove rigorous error estimates and provide a logarithmic order of convergence in the energy norm using suitable log-weighted spaces. Moreover, we show that the stiffness matrix of logarithmic problems can be obtained as the derivative of the fractional stiffness matrix evaluated at s = 0. Lastly, we investigate the relationship between the discrete eigenvalue problem and its convergence to the continuous one."
8,Web-based wide-area monitoring platform for ringdown and clustering analytics in power systems,2025,"Ortiz-Bejar, Jose; Zamora-Mendez, Alejandro; Arrieta Paternina, Mario R.; Mendieta-Mejia, Luis; Toledo, Carlos; Zelaya-Arrazabal, Francisco; Reyes de Luna, Rodrigo D.; Zarate, José; Reyes-Maldonado, Felix; Lugnani, Lucas; Ramos-Guerrero, José Manuel; Pineda-Garcia, Garibaldi; Liu, Yilu; de la O Serna, José Antonio; Chow, Joe H.; Ramirez, Juan M.; López-Rios, Antonino; Dotta, Daniel","Jose Ortiz-Bejar: University of Saint Nicholas of Hidalgo, Morelia, 58030, MICH, Mexico | Alejandro Zamora-Mendez: University of Saint Nicholas of Hidalgo, Morelia, 58030, MICH, Mexico | Mario R. Arrieta Paternina: National Autonomous University of Mexico, Mexico City, 04510, MEX, Mexico | Luis Mendieta-Mejia: National Autonomous University of Mexico, Mexico City, 04510, MEX, Mexico | Carlos Toledo: Industrial University of Santander (UIS), Bucaramanga, 680001, Colombia | Francisco Zelaya-Arrazabal: University of Tennessee, Knoxville, USA | Rodrigo D. Reyes de Luna: Autonomous University of Nuevo Leon, Monterrey, 66450, NL, Mexico | José Zarate: National Autonomous University of Mexico, Mexico City, 04510, MEX, Mexico | Felix Reyes-Maldonado: University of Saint Nicholas of Hidalgo, Morelia, 58030, MICH, Mexico | Lucas Lugnani: University of Campinas, Campinas, 13083-852, Brazil | José Manuel Ramos-Guerrero: National Autonomous University of Mexico, Mexico City, 04510, MEX, Mexico | Garibaldi Pineda-Garcia: School of Engineering and Informatics, University of Sussex, Falmer, UK | Yilu Liu: University of Tennessee, Knoxville, USA | José Antonio de la O Serna: Autonomous University of Nuevo Leon, Monterrey, 66450, NL, Mexico | Joe H. Chow: Rensselaer Polytechnic Institute (RPI), Troy, NY, USA | Juan M. Ramirez: Centre for Research and Advanced Studies, Guadalajara, 45019, JAL, Mexico | Antonino López-Rios: Centre for Research and Advanced Studies, Guadalajara, 45019, JAL, Mexico | Daniel Dotta: University of Campinas, Campinas, 13083-852, Brazil",,N/D,0142-0615,10.1016/j.ijepes.2025.110714,https://doi.org/10.1016/j.ijepes.2025.110714,CC,,Electromechanical oscillations; Rotor angle stability; Data-driven method; Clustering; Ringdown analysis; WAMS,"This paper introduces an open-source research platform for monitoring the Mexican interconnected power grid, allowing real-time processing and information extraction of the grid’s dynamic condition. Moreover, the platform is a Python-based development that embeds different ringdown and clustering analytics tools. In the case of ringdown analysis, the modal information can be extracted using some of the most known algorithms, i.e., Prony analysis, eigensystem realization algorithm (ERA), and matrix pencil (MP). For clustering analysis, the coherent behaviour of generator and non-generator buses is provided by applying recent state-of-the-art techniques such as affinity propagation, K-means, hierarchical agglomerative clustering, and typicality data analysis. The results of up to 93 PMUs show that this open-source platform suits researchers’ and engineers’ power system dynamic analysis requirements."
9,Advanced Algorithm Combinations for Safe Human-Robot Collaboration: A Review and Research Proposal,2025,"Lefranc, Gastón; Gatica, Gabriel; Vásquez, Edison; Peña, Mario","Gastón Lefranc: Pontificia Universidad Católica de Valparaíso, Avda. Brasil 2950, Valparaíso, 2430000, Chile | Gabriel Gatica: Startup I+D+i Inteligencia Artificial, ARTIFICYAN, Viña del Mar, Chile | Edison Vásquez: JhedAI Startup, Viña del Mar, Chile | Mario Peña: IIMAS-UNAM, Ciudad de México, México",,N/D,1877-0509,10.1016/j.procs.2025.08.018,https://doi.org/10.1016/j.procs.2025.08.018,CC,,Human-robot interaction; Reinforcement learning; Multimodal transformers; Collaborative robotics; Graph-CNN,"This paper presents a proposal for integrating Graph Convolutional Neural Network (Graph-CNN), Multimodal Transformer, Soft Actor-Critic with Reward Constrained Policy Optimisation (SAC-RCPO), and TactileGAN algorithms, which are used in human-robot collaboration. This integration addresses challenges such as adaptability, safety, intention recognition, and precise manipulation in dynamic environments. The central hypothesis is that the combination of these algorithms could lead to improvements in manipulation accuracy, collision avoidance, and training efficiency. The methodology evaluates this combination in simulated and controlled laboratory environments that replicate industrial situations. This work considers the human dimension of collaboration, emphasising the importance of interaction, user trust, and ergonomic integration. It also recognises the ethical implications related to safety, transparency, and the responsible implementation of Artificial Intelligence (AI) systems in shared workspaces. The proposed framework has potential applications in the manufacturing, healthcare, and service sectors, aiming to drive the practical adoption of safe and efficient collaborative robots."
10,AI-Enhanced Supercomputing for Next-Generation Astronomical Data Processing in Latin America: A Case Study of the ALMA Observatory,2025,"Lefranc, Gastón; Gatica, Gabriel; Vásquez, Edison; Peña, Mario","Gastón Lefranc: Pontificia Universidad Católica de Valparaíso, Avda. Brasil 2950, Valparaíso, 2430000, Chile | Gabriel Gatica: Startup I+D+i Inteligencia Artificial, ARTIFICYAN, Viña del Mar, Chile | Edison Vásquez: JhedAI Startup, Viña del Mar, Chile | Mario Peña: IIMAS-UNAM, Ciudad de México, México",,N/D,1877-0509,10.1016/j.procs.2025.08.019,https://doi.org/10.1016/j.procs.2025.08.019,CC,,Artificial Intelligence; Supercomputing; Radio Astronomy; ALMA Observatory; High-Performance Computing; GPU Acceleration; Data Processing,"This paper presents a proposal for improving the data processing workflow within an AI-powered supercomputing framework for the Atacama Large Millimetre/submillimeter Array (ALMA) Observatory. This framework aims to reduce processing times by 40% to 60%, improve image resolution, and increase data calibration accuracy. A high-performance computing (HPC) architecture with a GPU and artificial intelligence (AI) hardware for astronomical data management is described. The importance of such infrastructure for scientific advancement in developing countries is highlighted by analyzing implementation strategies, cost-benefit analyses, and technology transfer."
