Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
Pérez-Lantero P.; Seara C.; Urrutia J.,"Pérez-Lantero, Pablo (26032291700); Seara, Carlos (6603259241); Urrutia, Jorge (35566511400)",26032291700; 6603259241; 35566511400,Rectilinear convex hull of points in 3D and applications,2024,Journal of Global Optimization,90,2,,551,571,1,10.1007/s10898-024-01402-3,https://www.scopus.com/pages/publications/85191956830?origin=resultslist,"Facultad de Ciencia, Departamento de Matemática y Ciencia de la Computación, Universidad de Santiago de Chile (USACH), Santiago, Chile; Departament de Matemàtiques, Universitat Politècnica de Catalunya, Barcelona, Spain; Instituto de Matemáticas, Universidad Nacional Autónoma de México, Mexico, Mexico","Pérez-Lantero P., Facultad de Ciencia, Departamento de Matemática y Ciencia de la Computación, Universidad de Santiago de Chile (USACH), Santiago, Chile; Seara C., Departament de Matemàtiques, Universitat Politècnica de Catalunya, Barcelona, Spain; Urrutia J., Instituto de Matemáticas, Universidad Nacional Autónoma de México, Mexico, Mexico","Let P be a set of n points in R3 in general position, and let RCH(P) be the rectilinear convex hull of P. In this paper we obtain an optimal O(nlogn) time and O(n) space algorithm to compute RCH(P). We also obtain an efficient O(nlog2n) time and O(nlogn) space algorithm to compute and maintain the set of vertices of the rectilinear convex hull of P as we rotate R3 around the Z-axis. We study some combinatorial properties of the rectilinear convex hulls of point sets in R3. Finally, as an application of the obtained results, we show an approximation algorithm to an optimization fitting problem in R3. © The Author(s) 2024.",52A15; 52C35; 52C45; 68U05; Fitting in 3D; Rectilinear convex hull; Rotation around the Z-axis,Computational geometry; 52a15; 52c35; 52c45; 68u05; Combinatorial properties; Convex hull; Fitting in 3d; Rectilinear convex hull; Rotation around the Z-axis; Space algorithms; Approximation algorithms,09255001,,JGOPE,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85191956830
Castañeda A.; Van Ditmarsch H.; Rosenblueth D.A.; Velázquez D.A.,"Castañeda, Armando (15129698500); Van Ditmarsch, Hans (57215882990); Rosenblueth, David A (6603485343); Velázquez, Diego A (57225032330)",15129698500; 57215882990; 6603485343; 57225032330,Pattern Models: A Dynamic Epistemic Logic for Distributed Systems,2024,Computer Journal,67,7,,2421,2440,0,10.1093/comjnl/bxae016,https://www.scopus.com/pages/publications/85199515630?origin=resultslist,"Instituto de Matemáticas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito exterior, 04510, Mexico; Centre National de la Recherche Scientifique, Institut de Recherche en Informatique de Toulouse, Université de Toulouse, 118 Route de Narbonne, Toulouse, F-31062 Cedex 9, France; Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico; Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico","Castañeda A., Instituto de Matemáticas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito exterior, 04510, Mexico; Van Ditmarsch H., Centre National de la Recherche Scientifique, Institut de Recherche en Informatique de Toulouse, Université de Toulouse, 118 Route de Narbonne, Toulouse, F-31062 Cedex 9, France; Rosenblueth D.A., Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico; Velázquez D.A., Universidad Nacional Autónoma de México, Ciudad Universitaria, Circuito Escolar, 04510, Mexico","We introduce pattern models, a dynamic epistemic logic for analyzing distributed systems. First, we present a version of pattern models where the full-information protocol, widely studied in distributed computability, is static in the product definition of pattern models. Next, we parametrize such a logic so as to add the capability to model dynamics of arbitrary deterministic protocols. We thus give a systematic construction of pattern models for a large variety of distributed-computing models called dynamic-network models. Using pattern models, the epistemic dynamics of a proper subclass of dynamic-network models called oblivious can be described using a static pattern model, hence using constant space. For this case, we present a sufficient unsolvability condition for the consensus task that can be easily verified analyzing the structure of the initial epistemic model and the pattern model for a given oblivious dynamic-network model.  © 2024 The Author(s).",consensus; distributed computing; dynamic epistemic logic; dynamic-network models,Computation theory; Computer circuits; Consensus; Deterministic protocols; Distributed computabilities; Distributed systems; Dynamic epistemic logic; Dynamic network modeling; Full informations; Information protocols; Model dynamics; Product definition; Distributed computer systems,00104620,,CMPJA,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85199515630
Estivill-Castro V.; Carrillo M.; Rosenblueth D.A.,"Estivill-Castro, Vladimir (55915978700); Carrillo, Miguel (15058600200); Rosenblueth, David A. (6603485343)",55915978700; 15058600200; 6603485343,LLFSMs to TLA+: A Model-to-Text Transformation of Executable Models Enabling Specification and Verification of Multi-Threaded and Concurrent Systems,2025,International Conference on Model-Driven Engineering and Software Development,1,,,15,26,0,10.5220/0013094700003896,https://www.scopus.com/pages/publications/105001832131?origin=resultslist,"Department of Engineering, Pompeu Fabra University, Roc Boronat 138, Barcelona, 08018, Spain; Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico","Estivill-Castro V., Department of Engineering, Pompeu Fabra University, Roc Boronat 138, Barcelona, 08018, Spain; Carrillo M., Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico; Rosenblueth D.A., Instituto de Investigaciones en Matemáaticas Aplicadas y en Sistemas, Universidad Nacional Autónoma de México, Apdo. 20-126, Ciudad de Mexico, 01000, Mexico","As complexity of software systems increases, ensuring reliability becomes ever more crucial. Despite advances, behaviour-modelling techniques still face challenges due to semantic gaps. This work focuses on translating Logic-Labelled Finite-State Machines (LLFSMs) to the Temporal Logic of Actions (TLA), bridging the gap between a time-triggered formalism and common temporal logic for model checking. The translation is innovative as multi-threaded and distributed systems can now be designed using LLFSMs. We illustrate the translation with Fischer’s protocol (for multi-threaded systems), and release tools with examples for distributed systems. The approach addresses semantic gaps from three sources: differing finite-state machine semantics, variations in translating to executable models versus models for checking, and discrepancies between abstract and executable model translations. © 2025 by SCITEPRESS - Science and Technology Publications, Lda.",Executable Models; Formal Verification; Model Transformation; Reasoning About Models,,21844348,978-989758729-0,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105001832131
Amezcua-Osorio B.; Hernández-Cruz C.; Hosseini S.A.; Lozano-Chávez H.; Macgillivray G.,"Amezcua-Osorio, Bruno (60219474900); Hernández-Cruz, César (36809649000); Hosseini, Seyyed Aliasghar (55797494000); Lozano-Chávez, Humberto (60219403400); Macgillivray, Gary (6701842964)",60219474900; 36809649000; 55797494000; 60219403400; 6701842964,Cops and Robbers on Token Graphs,2025,Procedia Computer Science,273,,,493,500,0,10.1016/j.procs.2025.10.337,https://www.scopus.com/pages/publications/105023479542?origin=resultslist,"Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, Av. Universidad 3000, CDMX 04510, Mexico; School of Computing and Academic Studies, British Columbia Institute of Technology, 3700 Willingdon Avenue, Burnaby, V5G 3H2, Canada; Department of Mathematics and Statistics, University of Victoria, 3800 Finnerty Road, Victoria, V8P 5C2, Canada","Amezcua-Osorio B., Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, Av. Universidad 3000, CDMX 04510, Mexico; Hernández-Cruz C., Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, Av. Universidad 3000, CDMX 04510, Mexico; Hosseini S.A., School of Computing and Academic Studies, British Columbia Institute of Technology, 3700 Willingdon Avenue, Burnaby, V5G 3H2, Canada; Lozano-Chávez H., Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México, Av. Universidad 3000, CDMX 04510, Mexico; Macgillivray G., Department of Mathematics and Statistics, University of Victoria, 3800 Finnerty Road, Victoria, V8P 5C2, Canada","Let G = (V, E) be a graph and k a positive integer such that k ≤ |V|. The k-token graph of G is the graph Fk(G) having the set of all k-sets of V as vertex set, and such that two k-sets of V, say A and B, are adjacent if and only if the symmetric difference of A and B is an edge of G. In this work we study the cop number of token graphs of graphs in some classic families, such as paths, stars, and subdivided stars. We obtain the exact cop number for k-token graphs of paths and stars. We also obtain the exact cop number for subdivided stars when the number of branches is large enough. Probably more interesting than the aforementioned results, we introduce a variant of the Cops and Robbers game where R controls a team of robbers and C controls some teams of cops. A game of Cops and Robbers with this new variant played on a graph G is equivalent to a classic game of Cops and Robbers played on Fk(G). This turns out to be very useful, as Fk(G) is usually very large and complex when compared to G. © 2025 The Authors. Published by Elsevier B.V.",cop number; cops; robbers; star graph; token graph,Application programs; Artificial intelligence; Computation theory; Computational geometry; Computational methods; Graphic methods; Multimedia systems; Operations research; Stars; Undirected graphs; AS paths; Cop; Cop numbers; Cops-and-robbers; Positive integers; Robber; Star graphs; Symmetric difference; Token graph; Vertex set; Information management,18770509,,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105023479542
Olvera-Martinez L.; Cedillo-Hernandez M.; Diaz-Rodriguez C.A.; Faustinos-Morales L.; Cedillo-Hernandez A.; Garcia-Ugalde F.J.,"Olvera-Martinez, Luis (57224996020); Cedillo-Hernandez, Manuel (25521406600); Diaz-Rodriguez, Carlos Adolfo (59454851000); Faustinos-Morales, Leonardo (59710156600); Cedillo-Hernandez, Antonio (55620620700); Garcia-Ugalde, Francisco Javier (55989774900)",57224996020; 25521406600; 59454851000; 59710156600; 55620620700; 55989774900,Symmetric Grayscale Image Encryption Based on Quantum Operators with Dynamic Matrices,2025,Mathematics,13,6,982,,,3,10.3390/math13060982,https://www.scopus.com/pages/publications/105001096286?origin=resultslist,"Instituto Politecnico Nacional, Escuela Superior de Ingenieria Mecanica y Electrica Unidad Culhuacan, Avenida Santa Ana 1000, San Francisco Culhuacan, Culhuacan CTM V, Coyoacan, Ciudad de Mexico, CP 04440, Mexico; Independent Researcher, Ciudad de Mexico CP 04440, Mexico; Escuela de Ingeniería y Ciencias, Tecnologico de Monterrey, Av. Eugenio Garza Sada 2501, Monterrey CP, 64849, Mexico; Facultad de Ingenieria, Universidad Nacional Autonoma de Mexico (UNAM), Av. Universidad No. 3000, Ciudad Universitaria, Coyoacan, Ciudad de Mexico, 04510, Mexico","Olvera-Martinez L., Instituto Politecnico Nacional, Escuela Superior de Ingenieria Mecanica y Electrica Unidad Culhuacan, Avenida Santa Ana 1000, San Francisco Culhuacan, Culhuacan CTM V, Coyoacan, Ciudad de Mexico, CP 04440, Mexico; Cedillo-Hernandez M., Instituto Politecnico Nacional, Escuela Superior de Ingenieria Mecanica y Electrica Unidad Culhuacan, Avenida Santa Ana 1000, San Francisco Culhuacan, Culhuacan CTM V, Coyoacan, Ciudad de Mexico, CP 04440, Mexico; Diaz-Rodriguez C.A., Independent Researcher, Ciudad de Mexico CP 04440, Mexico; Faustinos-Morales L., Independent Researcher, Ciudad de Mexico CP 04440, Mexico; Cedillo-Hernandez A., Escuela de Ingeniería y Ciencias, Tecnologico de Monterrey, Av. Eugenio Garza Sada 2501, Monterrey CP, 64849, Mexico; Garcia-Ugalde F.J., Facultad de Ingenieria, Universidad Nacional Autonoma de Mexico (UNAM), Av. Universidad No. 3000, Ciudad Universitaria, Coyoacan, Ciudad de Mexico, 04510, Mexico","Image encryption is crucial for ensuring the confidentiality and integrity of digital images, preventing unauthorized access and alterations. However, existing encryption algorithms often involve complex mathematical operations or require specialized hardware, which limits their efficiency and practicality. To address these challenges, we propose a novel image encryption scheme based on the emulation of fundamental quantum operators from a multi-braided quantum group in the sense of Durdevich. These operators—coproduct, product, and braiding—are derived from quantum differential geometry and enable the dynamic generation of encryption values, avoiding the need for computationally intensive processes. Unlike quantum encryption methods that rely on physical quantum hardware, our approach simulates quantum behavior through classical computation, enhancing accessibility and efficiency. The proposed method is applied to grayscale images with 8-, 10-, and 12-bit depth per pixel. To validate its effectiveness, we conducted extensive experiments, including visual quality metrics (PSNR, SSIM), randomness evaluation using NIST 800-22, entropy and correlation analysis, key sensitivity tests, and execution time measurements. Additionally, comparative tests against AES encryption demonstrate the advantages of our approach in terms of performance and security. The results show that the proposed method provides a high level of security while maintaining computational efficiency. © 2025 by the authors.",braided quantum groups; finite fields; image encryption; quantum operators; security analysis,,22277390,,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105001096286
Luca F.; Sarkar S.; Stănică P.,"Luca, Florian (57192899403); Sarkar, Santanu (57105964400); Stănică, Pantelimon (55888650100)",57192899403; 57105964400; 55888650100,Representing the inverse map as a composition of quadratics in a finite field of characteristic 2,2024,Cryptography and Communications,16,6,,1187,1210,2,10.1007/s12095-024-00702-5,https://www.scopus.com/pages/publications/85187158984?origin=resultslist,"School of Mathematics, University of the Witwatersrand, Private Bag X3, Wits 2050, Johannesburg, South Africa; Centro de Ciencias Matemáticas, UNAM, Morelia, Mexico; Department of Mathematics, Indian Institute of Technology Madras, Sardar Patel Road, TN, Chennai, 600036, India; Applied Mathematics Department, Naval Postgraduate School, Monterey, 93943, United States","Luca F., School of Mathematics, University of the Witwatersrand, Private Bag X3, Wits 2050, Johannesburg, South Africa, Centro de Ciencias Matemáticas, UNAM, Morelia, Mexico; Sarkar S., Department of Mathematics, Indian Institute of Technology Madras, Sardar Patel Road, TN, Chennai, 600036, India; Stănică P., Applied Mathematics Department, Naval Postgraduate School, Monterey, 93943, United States","In 1953, Carlitz showed that all permutation polynomials over Fq, where q>2 is a power of a prime, are generated by the special permutation polynomials xq-2 (the inversion) and ax+b (affine functions, where 0≠a,b∈Fq). Recently, Nikova, Nikov and Rijmen (2019) proposed an algorithm (NNR) to find a decomposition of the inverse function in quadratics, and computationally covered all dimensions n≤16. Petrides (2023) theoretically found a class of integers for which it is easy to decompose the inverse into quadratics, and improved the NNR algorithm, thereby extending the computation up to n≤32. In this paper, we extend Petrides’ result, as well as we propose a new number theoretical approach, which allows us to easily cover all (surely, odd) exponents up to 250, at least. © This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply 2024.",Algorithm; Decompositions; Permutations; Primes; Quadratics; Sieves,Number theory; Polynomials; 11a41; 11n13; 11n36; 20b99; 94a60; 94d10; Permutation; Permutation polynomials; Prime; Quadratic; Decomposition,19362447,,,Article,Final,,Scopus,2-s2.0-85187158984
Geretti L.; Sandretto J.A.D.; Althoff M.; Benet L.; Collins P.; Forets M.; Mitsch S.; Schilling C.; Tillet J.; Wetzlinger M.,"Geretti, Luca (24450194200); Sandretto, Julien Alexandre Dit (56078372600); Althoff, Matthias (23569200200); Benet, Luis (7102395543); Collins, Pieter (9942826400); Forets, Marcelo (55210919400); Mitsch, Stefan (23668291300); Schilling, Christian (55608205000); Tillet, Joris (57207942152); Wetzlinger, Mark (57219739360)",24450194200; 56078372600; 23569200200; 7102395543; 9942826400; 55210919400; 23668291300; 55608205000; 57207942152; 57219739360,ARCH-COMP24 Category Report: Continuous and Hybrid Systems with Nonlinear Dynamics,2024,EPiC Series in Computing,103,,,39,63,2,10.29007/21ch,https://www.scopus.com/pages/publications/85207833845?origin=resultslist,"Department of Computer Science, University of Verona, Verona, Italy; ENSTA Paris, Institut Polytechnique de Paris, Palaiseau, France; Technische Universität München, Munich, Germany; Instituto de Ciencias Físicas, Universidad Nacional Autónoma de México (UNAM), Mexico; Department of Advanced Computer Sciences, Maastricht University, Maastricht, Netherlands; Universidad de la República, Montevideo, Uruguay; School of Computing, DePaul University, Chicago, IL, United States; Aalborg University, Aalborg, Denmark","Geretti L., Department of Computer Science, University of Verona, Verona, Italy; Sandretto J.A.D., ENSTA Paris, Institut Polytechnique de Paris, Palaiseau, France; Althoff M., Technische Universität München, Munich, Germany; Benet L., Instituto de Ciencias Físicas, Universidad Nacional Autónoma de México (UNAM), Mexico; Collins P., Department of Advanced Computer Sciences, Maastricht University, Maastricht, Netherlands; Forets M., Universidad de la República, Montevideo, Uruguay; Mitsch S., School of Computing, DePaul University, Chicago, IL, United States; Schilling C., Aalborg University, Aalborg, Denmark; Tillet J., ENSTA Paris, Institut Polytechnique de Paris, Palaiseau, France; Wetzlinger M., Technische Universität München, Munich, Germany","We present the results of a friendly competition for formal verification of continuous and hybrid systems with nonlinear continuous dynamics. The friendly competition took place as part of the workshop Applied Verification for Continuous and Hybrid Systems (ARCH) in 2024. This year, 5 tools participated: Ariadne, CORA, DynIbex, JuliaReach and KeYmaera X (in alphabetic order). These tools are applied to solve reachability analysis problems on six benchmark problems, two of them featuring hybrid dynamics. We do not rank the tools based on the results, but show the current status and discover the potential advantages of different tools. © 2024, EasyChair. All rights reserved.",continuous systems; formal methods; hybrid systems; nonlinear dynamics; reachability analysis; verification,Analysis problems; Ariadne; Benchmark problems; Continuous dynamics; Continuous system; Current status; Hybrid dynamics; Reachability analysis; Formal verification,23987340,,,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85207833845
Gray A.; Forets M.; Schilling C.; Ferson S.; Benet L.,"Gray, Ander (57210580773); Forets, Marcelo (55210919400); Schilling, Christian (55608205000); Ferson, Scott (7004465663); Benet, Luis (7102395543)",57210580773; 55210919400; 55608205000; 7004465663; 7102395543,Verified propagation of imprecise probabilities in non-linear ODEs,2024,International Journal of Approximate Reasoning,164,,109044,,,2,10.1016/j.ijar.2023.109044,https://www.scopus.com/pages/publications/85174824256?origin=resultslist,"United Kingdom Atomic Energy Authority, Culham, United Kingdom; Institute for Risk and Uncertainty, University of Liverpool, United Kingdom; Departamento de Matemática y Aplicaciones, Centro Universitario Regional del Este, Universidad de la República, Maldonado, Uruguay; Department of Computer Science, Aalborg University, Aalborg, Denmark; Instituto de Ciencias Físicas, Universidad Nacional Autónoma de México (UNAM), Mexico","Gray A., United Kingdom Atomic Energy Authority, Culham, United Kingdom, Institute for Risk and Uncertainty, University of Liverpool, United Kingdom; Forets M., Departamento de Matemática y Aplicaciones, Centro Universitario Regional del Este, Universidad de la República, Maldonado, Uruguay; Schilling C., Department of Computer Science, Aalborg University, Aalborg, Denmark; Ferson S., Institute for Risk and Uncertainty, University of Liverpool, United Kingdom; Benet L., Instituto de Ciencias Físicas, Universidad Nacional Autónoma de México (UNAM), Mexico","We combine reachability analysis and probability bounds analysis, which allow for imprecisely known random variables (multivariate intervals or p-boxes) to be specified as the initial states of a dynamical system. In combination, the methods allow for the temporal evolution of p-boxes to be rigorously computed, and they give interval probabilities for formal verification problems, also called failure probability calculations in reliability analysis. The methodology places no constraints on the input probability distribution or p-box and can handle dependencies generally in the form of copulas. We also provide a consonant approximation method for multivariate p-boxes, which allows for the prediction sets of dynamical systems to be efficiently computed. The presented methodology is rigorous and automatically verified, as both the dynamics and uncertainties are represented and solved with guaranteed enclosures. © 2023",Automatically verified; Dynamical systems; Imprecise probabilities; P-boxes; Reachability analysis,Probability distributions; Reliability analysis; Automatically verified; Imprecise probabilities; Initial state; Interval probability; Non linear; P-box; Probability bound analysis; Reachability analysis; Temporal evolution; Verification problems; Dynamical systems,0888613X,,IJARE,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85174824256
Lopez D.M.; Althoff M.; Benet L.; Coogan S.; Forets M.; Harapanahalli A.; Johnson T.T.; Ladner T.; Schilling C.; Zhang H.; Zhong X.,"Lopez, Diego Manzanas (57215191171); Althoff, Matthias (23569200200); Benet, Luis (7102395543); Coogan, Samuel (55210196400); Forets, Marcelo (55210919400); Harapanahalli, Akash (58079500700); Johnson, Taylor T. (36237009800); Ladner, Tobias (58117782700); Schilling, Christian (55608205000); Zhang, Huan (57192486575); Zhong, Xiangru (58316878800)",57215191171; 23569200200; 7102395543; 55210196400; 55210919400; 58079500700; 36237009800; 58117782700; 55608205000; 57192486575; 58316878800,ARCH-COMP25 Category Report: Artificial Intelligence and Neural Network Control Systems (AINNCS) for Continuous and Hybrid Systems Plants,2025,EPiC Series in Computing,108,,,71,121,0,10.29007/9vg6,https://www.scopus.com/pages/publications/105027162130?origin=resultslist,"Vanderbilt University, Nashville, TN, United States; Technische Universität München (TUM), Munich, Germany; Instituto de Ciencias Físicas, Universidad Nacional Autónoma de México (UNAM), Mexico; Universidad de la República, Montevideo, Uruguay; Aalborg University, Aalborg, Denmark; University of Illinois Urbana-Champaign, Urbana, IL, United States; Georgia Institute of Technology, Atlanta, GA, United States","Lopez D.M., Vanderbilt University, Nashville, TN, United States; Althoff M., Technische Universität München (TUM), Munich, Germany; Benet L., Instituto de Ciencias Físicas, Universidad Nacional Autónoma de México (UNAM), Mexico; Coogan S., Georgia Institute of Technology, Atlanta, GA, United States; Forets M., Universidad de la República, Montevideo, Uruguay; Harapanahalli A., Georgia Institute of Technology, Atlanta, GA, United States; Johnson T.T., Vanderbilt University, Nashville, TN, United States; Ladner T., Technische Universität München (TUM), Munich, Germany; Schilling C., Aalborg University, Aalborg, Denmark; Zhang H., University of Illinois Urbana-Champaign, Urbana, IL, United States; Zhong X., University of Illinois Urbana-Champaign, Urbana, IL, United States","This report presents the results of a friendly competition for formal verification of continuous and hybrid systems with artificial intelligence (AI) components. Specifically, machine learning (ML) components in cyber-physical systems (CPS), such as feedforward neural networks used as feedback controllers in closed-loop systems, are considered, which is a class of systems classically known as intelligent control systems, or in more modern and specific terms, neural network control systems (NNCS). We broadly refer to this category as AI and NNCS (AINNCS). The friendly competition took place as part of the workshop Applied Verification for Continuous and Hybrid Systems (ARCH) in 2025. In this edition of the AINNCS category at ARCH-COMP, five tools have been applied to solve 12 benchmarks, which are CORA, CROWN-Reach, immrax, JuliaReach, and NNV. For the second year in a row, we have the largest interest in the community, with four previous participants and one new participant, immrax. In reusing the hardware infrastructure and benchmarks from last year, we can observe comparable results from previous improvements, with slight improvements in computation time by CORA and NNV in selected benchmarks. A novelty of this year is the different problem abstraction between immrax and the rest of tools, leading to result disparities in 2 benchmarks: Single Pendulum and Attitude Control. © 2025, EasyChair. All rights reserved.",control system; neural feedback loop; neural network control system; verification,Adaptive control systems; Closed loop control systems; Embedded systems; Feedback; Feedforward neural networks; Formal verification; Hybrid systems; Intelligent control; Learning systems; Machine components; Nonlinear control systems; Artificial intelligence and neural networks; Cybe-physical systems; Cyber-physical systems; Feedback loops; Machine-learning; Network control systems; Neural feedback; Neural feedback loop; Neural network control; Neural network control system; Arches,23987340,,,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-105027162130
Dávila R.; Aldeco-Pérez R.; Bárcenas E.,"Dávila, R. (57448899400); Aldeco-Pérez, R. (36607389400); Bárcenas, E. (35182396600)",57448899400; 36607389400; 35182396600,Consistency in Smart Contracts Design,2025,Programming and Computer Software,51,8,,605,613,0,10.1134/S0361768825700458,https://www.scopus.com/pages/publications/105031629886?origin=resultslist,"Universidad Nacional Autónoma de México, CDMX, Mexico","Dávila R., Universidad Nacional Autónoma de México, CDMX, Mexico; Aldeco-Pérez R., Universidad Nacional Autónoma de México, CDMX, Mexico; Bárcenas E., Universidad Nacional Autónoma de México, CDMX, Mexico","Abstract: The reliability and security of Smart Contracts largely depend on the consistency of their rule design. This paper introduces a novel approach for analyzing and ensuring consistency in Smart Contracts prior to their implementation. By proposing a formal grammar that captures the concurrent primitives inherent in Smart Contracts, and an algorithm that generates finite state machines (FSMs) from these grammar-based rule sets, the study enables the identification of several problems at the design stage. The paper compares this methodology with related works that focus on post-implementation verification, highlighting the advantages of early-stage analysis. Through theoretical and real-world examples, including an analysis of the DAO attack, the paper demonstrates how inconsistencies can be detected systematically. Finally, a formal definition of consistency is presented, offering a foundation for future tools aimed at enhancing Smart Contract designs. © Pleiades Publishing, Ltd. 2025.",analysis and verification of smart contracts; consistency in smart contracts; DAO attack; finite state machines (FSMs); formal grammar; smart contracts,Computational grammars; Formal languages; Smart contract; Analysis and verifications; Analyze and verification of smart contract; Consistency in smart contract; Contract design; DAO attack; Design stage; Finite state machine; Finite states machine; Formal grammars; Rule set; Design,03617688,,,Article,Final,,Scopus,2-s2.0-105031629886
